Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
302,Anouar Ait El Hadj,be BEL,"MF,FW",be Union SG,23-257,2002,5,5,367,4.1,1,0,1,1,0,0,0,0,0.9,0.9,0.4,1.3,8,15,19,0.25,0,0.25,0.25,0.25,0.22,0.09,0.31,0.22,0.31,Matches
303,Nikita Haikin,ru RUS,GK,no Bodø/Glimt,30-175,1995,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
304,Achraf Hakimi,ma MAR,DF,fr Paris S-G,27-059,1998,4,4,314,3.5,0,3,3,0,0,0,1,0,0.4,0.4,1,1.4,16,14,20,0,0.86,0.86,0,0.86,0.1,0.29,0.39,0.1,0.39,Matches
305,Lewis Hall,eng ENG,DF,eng Newcastle Utd,21-116,2004,4,1,165,1.8,0,0,0,0,0,0,0,0,0,0,0.2,0.2,3,4,6,0,0,0,0,0,0.02,0.11,0.13,0.02,0.13,Matches
306,Dávid Hancko,sk SVK,DF,es Atlético Madrid,28-020,1997,4,4,360,4,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,4,7,2,0.25,0,0.25,0.25,0.25,0.12,0.02,0.15,0.12,0.15,Matches
307,Daiki Hashioka,jp JPN,DF,cz Slavia Prague,26-230,1999,3,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
308,Jorrel Hato,nl NED,DF,eng Chelsea,19-301,2006,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
309,Pantelis Hatzidiakos,gr GRE,DF,dk FC Copenhagen,28-349,1997,5,5,412,4.6,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,Matches
310,Andreas Helmersen,no NOR,FW,no Bodø/Glimt,27-293,1998,6,0,95,1.1,1,0,1,1,0,0,0,0,1,1,0.2,1.2,1,1,9,0.95,0,0.95,0.95,0.95,0.98,0.2,1.18,0.98,1.18,Matches
311,Luis Henrique,br BRA,DF,it Inter,24-019,2001,3,1,116,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,3,5,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
