iter	Logloss
0	0.6528408898
1	0.6202728271
2	0.5823812273
3	0.5540058136
4	0.5277514988
5	0.5040678236
6	0.4839207967
7	0.4682754093
8	0.4518570794
9	0.4354955037
10	0.4205730014
11	0.4054120382
12	0.392445204
13	0.3792148166
14	0.3697257996
15	0.3633670807
16	0.3522919549
17	0.3411635505
18	0.3307038837
19	0.3239446428
20	0.313571824
21	0.307310062
22	0.3025165346
23	0.2949245029
24	0.2899146186
25	0.2818062464
26	0.2762012058
27	0.2712234285
28	0.2643971761
29	0.260731464
30	0.2563478258
31	0.2512491014
32	0.2484532674
33	0.2459551281
34	0.2435571882
35	0.2396587584
36	0.2348003387
37	0.2321741952
38	0.2284842809
39	0.2252808253
40	0.221740977
41	0.2202032301
42	0.2176231808
43	0.2129981147
44	0.2112465752
45	0.207272572
46	0.2046596951
47	0.2008027818
48	0.1975870768
49	0.1962756475
50	0.1946849187
51	0.1918636534
52	0.1891260359
53	0.1857646518
54	0.1834235297
55	0.181754303
56	0.1795733346
57	0.177429178
58	0.1739757644
59	0.1736188465
60	0.1723339717
61	0.1716555066
62	0.1713685989
63	0.1690664291
64	0.1661809074
65	0.1650294622
66	0.162007353
67	0.1609912766
68	0.159965282
69	0.1584613588
70	0.1575786803
71	0.1569953177
72	0.1557785882
73	0.1540112178
74	0.152319018
75	0.1505862978
76	0.1490685039
77	0.1471329583
78	0.1456760936
79	0.144578139
80	0.1417131636
81	0.1402490828
82	0.1385093477
83	0.1376847373
84	0.1346053441
85	0.1340087891
86	0.1323404206
87	0.131139395
88	0.129521762
89	0.1282770793
90	0.1277137332
91	0.1271013366
92	0.1261453417
93	0.1254947874
94	0.1242062781
95	0.122758717
96	0.122040844
97	0.1215208583
98	0.1205393897
99	0.1198384391
100	0.1190158314
101	0.1173205164
102	0.1166028976
103	0.1154153612
104	0.1150334252
105	0.1143105613
106	0.1126028061
107	0.1121154361
108	0.1118583679
109	0.1104649968
110	0.1087809881
111	0.1083330578
112	0.1073822869
113	0.1063881238
114	0.1059857686
115	0.1055778927
116	0.1050774044
117	0.1037853135
118	0.1032859166
119	0.1025382148
120	0.1006104787
121	0.09932821062
122	0.09832864337
123	0.09724587335
124	0.0964003457
125	0.09603655073
126	0.09590774112
127	0.09566201104
128	0.09503277673
129	0.09458516439
130	0.09387459225
131	0.0925801701
132	0.09163379669
133	0.09055128098
134	0.09013288286
135	0.08979885313
136	0.08873136838
137	0.08807757696
138	0.08747182422
139	0.08704491721
140	0.0869404157
141	0.08615416951
142	0.08591997359
143	0.08561884032
144	0.08532782131
145	0.08525992499
146	0.08493393262
147	0.08473308351
148	0.08458169301
149	0.08401925829
150	0.08228949441
151	0.08159802755
152	0.08132401572
153	0.08079103894
154	0.0804131243
155	0.07960616748
156	0.07890344726
157	0.07800860405
158	0.07795459959
159	0.07615487311
160	0.07600733439
161	0.07562076781
162	0.07499453757
163	0.07358572218
164	0.07325743039
165	0.07277744611
166	0.07157948812
167	0.07106643253
168	0.07015742726
169	0.06977440516
170	0.0686785539
171	0.06801931593
172	0.06776997248
173	0.0672607157
174	0.06639417542
175	0.0658367157
176	0.06530878809
177	0.06390687095
178	0.06384578281
179	0.06290683746
180	0.06175911162
181	0.06089234882
182	0.0604039828
183	0.05999589496
184	0.05914387703
185	0.05875846545
186	0.05837365786
187	0.0572646353
188	0.05715486209
189	0.05685611831
190	0.0562186665
191	0.05583865378
192	0.05522753398
193	0.05516884592
194	0.05487031937
195	0.0546081384
196	0.05417235692
197	0.05347010824
198	0.05343144735
199	0.05337949859
